State,Licensee,Fiscal Year,Month Ending,Wagers,Patron Winnings,Cancelled Wagers,Monthly Resettlements (3),Online Sports Wagering Win/(Loss),Federal Excise Tax (4),Unadjusted Monthly Gaming Revenue,Promotional Coupons or Credits Wagered (5),Promotional Deduction (6),Total Gross Gaming Revenue,Payment (7)
Connecticut,"Mohegan Digital, LLC",2022/23,7/31/2022,30225550,26832500,318669,10471,3063909,73127,2990782,656091,656091,2334692,321020
Connecticut,CT Lottery Corp,2022/23,7/31/2022,9988853,9049691,55178,1187,882797,24834,857962,171541,171541,686421,94383
Connecticut,"MPI Master Wagering License CT, LLC",2021/22,6/30/2022,41063793,38423206,320444,47000,2273142,100511,2172631,428903,428903,1743728,239763
Connecticut,"Mohegan Digital, LLC",2021/22,6/30/2022,38791669,35374626,271130,2591,3143322,93227,3050095,1229862,762524,2287572,314541
Connecticut,CT Lottery Corp,2021/22,6/30/2022,9006240,8508929,41213,12096,444003,22413,421591,193355,105398,316193,43477
Connecticut,"MPI Master Wagering License CT, LLC",2021/22,5/31/2022,50667131,47114609,509831,27402,3015289,123838,2891450,500124,500124,2391326,328807
Connecticut,"Mohegan Digital, LLC",2021/22,5/31/2022,47301038,41913237,296742,-6865,5097924,114362,4983562,1259496,1245890,3737671,513930
Connecticut,CT Lottery Corp,2021/22,5/31/2022,9777896,8930482,60750,4361,782302,24293,758009,219855,189502,568507,78170
Connecticut,"MPI Master Wagering License CT, LLC",2021/22,4/30/2022,49181736,45420651,280812,166787,3313485,120008,3193477,760126,760126,2433351,334586
Connecticut,"Mohegan Digital, LLC",2021/22,4/30/2022,47280831,41956599,248050,19113,5057068,114687,4942381,1158002,1158002,3784379,520352
Connecticut,CT Lottery Corp,2021/22,4/30/2022,12978059,12328363,67032,32304,550359,32278,518082,232747,129520,388561,53427
Connecticut,"MPI Master Wagering License CT, LLC",2021/22,3/31/2022,61512587,57887273,137393,33404,3454517,150987,3303530,829706,825882,2477647,340677
Connecticut,"Mohegan Digital, LLC",2021/22,3/31/2022,56296979,51215571,185142,61676,4834590,137199,4697391,1232187,1174348,3523044,484418
Connecticut,CT Lottery Corp,2021/22,3/31/2022,14134715,13159851,30092,-47380,992151,35262,956890,307246,239222,717667,98679
Connecticut,"MPI Master Wagering License CT, LLC",2021/22,2/28/2022,48878223,45513628,124509,87270,3152817,115734,3037083,2244890,759271,2277812,313199
Connecticut,"Mohegan Digital, LLC",2021/22,2/28/2022,47258921,45983117,167100,34623,1074082,115084,958998,1058178,239749,719248,98897
Connecticut,CT Lottery Corp,2021/22,2/28/2022,12633625,12148061,26918,14797,443848,31517,412332,451065,103083,309249,42522
Connecticut,"MPI Master Wagering License CT, LLC",2021/22,1/31/2022,73721647,67172043,181313,28687,6339605,177370,6162234,2194575,1540559,4621676,635480
Connecticut,"Mohegan Digital, LLC",2021/22,1/31/2022,61980661,58425620,125392,45392,3384257,150105,3234153,1813431,808538,2425614,333522
Connecticut,CT Lottery Corp,2021/22,1/31/2022,13650304,13009536,11400,13261,616107,34097,582010,289595,145503,436508,60020
Connecticut,"MPI Master Wagering License CT, LLC",2021/22,12/31/2021,68869666,64101091,358976,-4407,4414006,165577,4248429,2027294,1062107,3186322,438119
Connecticut,"Mohegan Digital, LLC",2021/22,12/31/2021,63315497,59439866,224237,10397,3640998,153793,3487205,1574087,871801,2615404,359618
Connecticut,CT Lottery Corp,2021/22,12/31/2021,11385256,10542317,63768,2784,776387,28339,748048,260805,187012,561036,77142
Connecticut,"MPI Master Wagering License CT, LLC",2021/22,11/30/2021,60031024,52870165,164994,28431,6967434,143877,6823557,2045623,1705889,5117667,703679
Connecticut,"Mohegan Digital, LLC",2021/22,11/30/2021,58999340,50751107,127550,30748,8089935,140366,7949569,2725338,1987392,5962177,819799
Connecticut,CT Lottery Corp,2021/22,11/30/2021,8518887,7660972,99459,-3267,761722,21279,740443,405253,185111,555332,76358
Connecticut,"MPI Master Wagering License CT, LLC",2021/22,10/31/2021,23770250,20117086,43488,-4121,3613797,53427,3560370,2119449,890092,2670277,367163
Connecticut,"Mohegan Digital, LLC",2021/22,10/31/2021,27082842,26047082,102765,58834,874160,61453,812707,2398934,203177,609530,83810
Connecticut,CT Lottery Corp,2021/22,10/31/2021,3246536,2901339,41418,10047,293732,8013,285720,404431,71430,214290,29465
