Date,State,County,Area,Prcp,Snow,Temp,NumPolice,MalePopulation,FemalePopulation,AvgIncome,WhiteMale,WhiteFemale,BlackMale,BlackFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_29,Age30_34,Age35_39,Age40_44,Age45_49,Age50_54,Age55_59,Age60_64,Age65_69,Age70_74,Age75_79,Age80_84,Age85Plus,Party_Gop,Party_Dem,Party_Total
10/15/2020,Michigan,Isabella County,1496.188794,32.34,46.2,46.3,129,33961,35911,35501,0.4139569499,0.4379150447,0.0127805129,0.0138968399,0.0084153881,0.0098608885,0.02058049,0.0207665445,0.0469572933,0.0469859171,0.0502633387,0.105650332,0.1863407373,0.0710155713,0.0527106709,0.0533976414,0.0480163728,0.0465851843,0.050592512,0.0546284635,0.0545998397,0.0469716052,0.0318439432,0.0225269063,0.0159148157,0.014998855,14815,14072,29409
10/15/2020,Michigan,Jackson County,1873.838299,31.5,37.4,48.4,289,81003,77507,39832,0.4242634534,0.4213109583,0.0493975144,0.0320736862,0.0042079364,0.0049586777,0.0193363195,0.0170967131,0.0570311021,0.0582802347,0.060116081,0.0614724623,0.0608289698,0.0689672576,0.060570311,0.0583180872,0.0581856034,0.0627594474,0.0658065737,0.0741909028,0.0708220302,0.0605576935,0.047031733,0.0326162387,0.0206422308,0.0218030408,47372,31995,80845
10/15/2020,Michigan,Kalamazoo County,1502.9654,37.65,50,49.8,714,129606,135460,48723,0.376619408,0.3933246814,0.0574422974,0.0607999517,0.0136532034,0.0145888194,0.0262387481,0.0259105279,0.0590305811,0.0597511563,0.0602793267,0.0693412207,0.1185666966,0.0753812258,0.0619015641,0.0615544808,0.055797424,0.0546165861,0.0538016947,0.0581100556,0.0575328409,0.0511268892,0.0389978345,0.0272271812,0.0170976285,0.0198856134,56823,83686,143376
10/15/2020,Michigan,Kalkaska County,1477.74932,34.34666667,135.2,43.13333333,38,9220,8818,34623,0.4777137155,0.4594190043,0.0046568356,0.0025501719,0.0027719259,0.00299368,0.0113648963,0.0104224415,0.0510034372,0.0569907972,0.0602062313,0.0554385187,0.048841335,0.0587093913,0.0602616698,0.0595964076,0.0551613261,0.059430092,0.0662490298,0.0796097128,0.0818272536,0.0705177958,0.0576006209,0.0411353809,0.0231733008,0.0142476993,7436,3002,10630
10/15/2020,Michigan,Kent County,2258.319824,37.215,62.46666667,49.1,1367,324063,332892,53935,0.3600170484,0.3727302479,0.0523171298,0.0536185888,0.0160863377,0.0172903776,0.0551712066,0.0532684887,0.0662024035,0.0662891674,0.0666103462,0.0655676568,0.0675388725,0.0837226294,0.0760052058,0.0685952615,0.0588442131,0.0575564536,0.0585397782,0.0636603725,0.0595794232,0.0486395567,0.0348684461,0.0236134895,0.0159128099,0.0182539139,165741,187915,360839
10/15/2020,Michigan,Keweenaw County,15452.55665,29.34,207.7,41.8,7,1082,1034,47618,0.4981096408,0.4631379962,0.0009451796,0.0028355388,0,0.0009451796,0.0066162571,0.0103969754,0.0349716446,0.0359168242,0.0430056711,0.0458412098,0.0274102079,0.0425330813,0.0302457467,0.0425330813,0.0439508507,0.0467863894,0.0467863894,0.0822306238,0.0964083176,0.1209829868,0.1115311909,0.0789224953,0.0401701323,0.0297731569,862,672,1557
10/15/2020,Michigan,Lake County,1487.544313,34.56,76,46,92,5988,5865,31813,0.4366826964,0.4235214714,0.0395680418,0.0400742428,0.0008436683,0.002446638,0.0120644563,0.012655024,0.0469923226,0.04387075,0.046823589,0.0410866447,0.0377963385,0.0407491774,0.0406648106,0.0447987851,0.0432801822,0.0598160803,0.0632751202,0.0885851683,0.1037711972,0.1071458702,0.0777862145,0.0515481313,0.0361090019,0.0259006159,3946,2288,6323
10/15/2020,Michigan,Lapeer County,1716.758577,33.455,30.7,47.3,134,44424,43183,43679,0.462291826,0.4551805221,0.0098622256,0.0022486788,0.0026481902,0.0041092607,0.0240734188,0.0230689328,0.0468227425,0.054299314,0.059755499,0.063796272,0.0556462383,0.0580661363,0.0521419521,0.0554978483,0.0559658475,0.0647893433,0.0778134167,0.0849703791,0.0817172144,0.0656226101,0.0500644926,0.0349173011,0.020763181,0.0173502117,35482,16367,52640
10/15/2020,Michigan,Leelanau County,6558.347204,32.66333333,116.0333333,46,41,10721,11040,67320,0.4442350995,0.4547125592,0.0032627177,0.0043196544,0.00280318,0.0035384403,0.0226092551,0.02242544,0.041450301,0.0421396076,0.0459078167,0.0473323836,0.0425991453,0.0420017462,0.0443453885,0.048067644,0.0450806489,0.0476081062,0.0537199577,0.081889619,0.0982032076,0.1072101466,0.0795919305,0.0586829649,0.037038739,0.0371306466,7916,8795,16898
10/15/2020,Michigan,Lenawee County,1972.023678,35.66571429,31.76666667,48.51666667,184,49712,48739,39600,0.4302648018,0.4345918274,0.0211882053,0.0083594885,0.0020009954,0.0029862571,0.0418177571,0.0399386497,0.0528587825,0.0555911062,0.0607408762,0.0667743344,0.0627215569,0.0608018202,0.0563529065,0.0598267158,0.0580085525,0.0633513118,0.0649663284,0.0714873389,0.0720256777,0.0633817838,0.0523813877,0.0347177784,0.022264883,0.0217468588,31541,20918,53374
10/15/2020,Michigan,Livingston County,1516.194343,33.14,31.6,47.475,222,96195,95800,58326,0.4716945754,0.4697674419,0.0039844788,0.0027813224,0.0039636449,0.0058647361,0.0129326285,0.0125732441,0.0499127581,0.0553920675,0.0614599339,0.0648141879,0.0580431782,0.0557358265,0.0547618428,0.0577306701,0.0565118883,0.067225709,0.0780697414,0.0842157348,0.0771113831,0.0618557775,0.0481627126,0.0330841949,0.0182608922,0.0176515013,76982,48220,127166
