GeoName,LineCode,Description,Unit,Year,Value
"Lincoln, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,166871
"Lincoln, CO",2,Population (persons) 1/,Number of persons,2019,5682
"Lincoln, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,29368
"Logan, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,934122
"Logan, CO",2,Population (persons) 1/,Number of persons,2019,21961
"Logan, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,42535
"Mesa, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,7118150
"Mesa, CO",2,Population (persons) 1/,Number of persons,2019,154807
"Mesa, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,45981
"Mineral, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,54082
"Mineral, CO",2,Population (persons) 1/,Number of persons,2019,838
"Mineral, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,64537
"Moffat, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,545200
"Moffat, CO",2,Population (persons) 1/,Number of persons,2019,13316
"Moffat, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,40943
"Montezuma, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,1133176
"Montezuma, CO",2,Population (persons) 1/,Number of persons,2019,25865
"Montezuma, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,43811
"Montrose, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,1810838
"Montrose, CO",2,Population (persons) 1/,Number of persons,2019,42311
"Montrose, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,42798
"Morgan, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,1292789
"Morgan, CO",2,Population (persons) 1/,Number of persons,2019,29041
"Morgan, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,44516
"Otero, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,672756
"Otero, CO",2,Population (persons) 1/,Number of persons,2019,18658
"Otero, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,36057
"Ouray, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,319438
"Ouray, CO",2,Population (persons) 1/,Number of persons,2019,4885
"Ouray, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,65392
"Park, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,862789
"Park, CO",2,Population (persons) 1/,Number of persons,2019,17492
"Park, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,49325
"Phillips, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,188236
"Phillips, CO",2,Population (persons) 1/,Number of persons,2019,4508
"Phillips, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,41756
"Pitkin, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,3056723
"Pitkin, CO",2,Population (persons) 1/,Number of persons,2019,17398
"Pitkin, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,175694
"Prowers, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,467977
"Prowers, CO",2,Population (persons) 1/,Number of persons,2019,11994
"Prowers, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,39018
"Pueblo, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,6596712
"Pueblo, CO",2,Population (persons) 1/,Number of persons,2019,167146
"Pueblo, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,39467
"Rio Blanco, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,312387
"Rio Blanco, CO",2,Population (persons) 1/,Number of persons,2019,6507
"Rio Blanco, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,48008
"Rio Grande, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,541145
"Rio Grande, CO",2,Population (persons) 1/,Number of persons,2019,11492
"Rio Grande, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,47089
"Routt, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,2133572
"Routt, CO",2,Population (persons) 1/,Number of persons,2019,24920
"Routt, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,85617
"Saguache, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,238025
"Saguache, CO",2,Population (persons) 1/,Number of persons,2019,6332
"Saguache, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,37591
"San Juan, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,33955
"San Juan, CO",2,Population (persons) 1/,Number of persons,2019,690
"San Juan, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,49210
"San Miguel, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,753532
"San Miguel, CO",2,Population (persons) 1/,Number of persons,2019,8122
"San Miguel, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,92777
"Sedgwick, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,100609
"Sedgwick, CO",2,Population (persons) 1/,Number of persons,2019,2391
"Sedgwick, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,42078
"Summit, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,2336514
"Summit, CO",2,Population (persons) 1/,Number of persons,2019,31151
"Summit, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,75006
"Teller, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,1318614
"Teller, CO",2,Population (persons) 1/,Number of persons,2019,24679
"Teller, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,53431
"Washington, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,189654
"Washington, CO",2,Population (persons) 1/,Number of persons,2019,4814
"Washington, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,39396
"Weld, CO*",1,Personal income (thousands of dollars),Thousands of dollars,2019,16021244
"Weld, CO*",2,Population (persons) 1/,Number of persons,2019,322305
"Weld, CO*",3,Per capita personal income (dollars) 2/,Dollars,2019,49708
"Yuma, CO",1,Personal income (thousands of dollars),Thousands of dollars,2019,435000
"Yuma, CO",2,Population (persons) 1/,Number of persons,2019,9956
"Yuma, CO",3,Per capita personal income (dollars) 2/,Dollars,2019,43692
Connecticut,1,Personal income (thousands of dollars),Thousands of dollars,2019,267552755
Connecticut,2,Population (persons) 1/,Number of persons,2019,3607159
Connecticut,3,Per capita personal income (dollars) 2/,Dollars,2019,74173
"Fairfield, CT",1,Personal income (thousands of dollars),Thousands of dollars,2019,108758938
"Fairfield, CT",2,Population (persons) 1/,Number of persons,2019,957097
"Fairfield, CT",3,Per capita personal income (dollars) 2/,Dollars,2019,113634
"Hartford, CT",1,Personal income (thousands of dollars),Thousands of dollars,2019,57142234
"Hartford, CT",2,Population (persons) 1/,Number of persons,2019,899727
"Hartford, CT",3,Per capita personal income (dollars) 2/,Dollars,2019,63511
"Litchfield, CT",1,Personal income (thousands of dollars),Thousands of dollars,2019,11958598
"Litchfield, CT",2,Population (persons) 1/,Number of persons,2019,185264
"Litchfield, CT",3,Per capita personal income (dollars) 2/,Dollars,2019,64549
"Middlesex, CT",1,Personal income (thousands of dollars),Thousands of dollars,2019,11151492
"Middlesex, CT",2,Population (persons) 1/,Number of persons,2019,164685
"Middlesex, CT",3,Per capita personal income (dollars) 2/,Dollars,2019,67714
"New Haven, CT",1,Personal income (thousands of dollars),Thousands of dollars,2019,48806770
"New Haven, CT",2,Population (persons) 1/,Number of persons,2019,864743
"New Haven, CT",3,Per capita personal income (dollars) 2/,Dollars,2019,56441
"New London, CT",1,Personal income (thousands of dollars),Thousands of dollars,2019,15596073
"New London, CT",2,Population (persons) 1/,Number of persons,2019,268874
"New London, CT",3,Per capita personal income (dollars) 2/,Dollars,2019,58005
"Tolland, CT",1,Personal income (thousands of dollars),Thousands of dollars,2019,8610689
"Tolland, CT",2,Population (persons) 1/,Number of persons,2019,150091
"Tolland, CT",3,Per capita personal income (dollars) 2/,Dollars,2019,57370
"Windham, CT",1,Personal income (thousands of dollars),Thousands of dollars,2019,5527961
"Windham, CT",2,Population (persons) 1/,Number of persons,2019,116678
"Windham, CT",3,Per capita personal income (dollars) 2/,Dollars,2019,47378
Delaware,1,Personal income (thousands of dollars),Thousands of dollars,2019,52740700
Delaware,2,Population (persons) 1/,Number of persons,2019,981297
Delaware,3,Per capita personal income (dollars) 2/,Dollars,2019,53746
"Kent, DE",1,Personal income (thousands of dollars),Thousands of dollars,2019,7971491
"Kent, DE",2,Population (persons) 1/,Number of persons,2019,180255
"Kent, DE",3,Per capita personal income (dollars) 2/,Dollars,2019,44223
"New Castle, DE",1,Personal income (thousands of dollars),Thousands of dollars,2019,32066740
"New Castle, DE",2,Population (persons) 1/,Number of persons,2019,568200
"New Castle, DE",3,Per capita personal income (dollars) 2/,Dollars,2019,56436
"Sussex, DE",1,Personal income (thousands of dollars),Thousands of dollars,2019,12702469
"Sussex, DE",2,Population (persons) 1/,Number of persons,2019,232842
"Sussex, DE",3,Per capita personal income (dollars) 2/,Dollars,2019,54554
District of Columbia,1,Personal income (thousands of dollars),Thousands of dollars,2019,57492301
District of Columbia,2,Population (persons) 1/,Number of persons,2019,687408
District of Columbia,3,Per capita personal income (dollars) 2/,Dollars,2019,83636
"District of Columbia, DC",1,Personal income (thousands of dollars),Thousands of dollars,2019,57492301
"District of Columbia, DC",2,Population (persons) 1/,Number of persons,2019,687408
"District of Columbia, DC",3,Per capita personal income (dollars) 2/,Dollars,2019,83636
Florida,1,Personal income (thousands of dollars),Thousands of dollars,2019,1145460767
Florida,2,Population (persons) 1/,Number of persons,2019,21354519
Florida,3,Per capita personal income (dollars) 2/,Dollars,2019,53640
"Alachua, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,12534482
"Alachua, FL",2,Population (persons) 1/,Number of persons,2019,276272
"Alachua, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,45370
"Baker, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,979370
"Baker, FL",2,Population (persons) 1/,Number of persons,2019,28172
"Baker, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,34764
"Bay, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,8115966
"Bay, FL",2,Population (persons) 1/,Number of persons,2019,176830
"Bay, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,45897
"Bradford, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,964272
"Bradford, FL",2,Population (persons) 1/,Number of persons,2019,28153
"Bradford, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,34251
"Brevard, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,28921629
"Brevard, FL",2,Population (persons) 1/,Number of persons,2019,600836
"Brevard, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,48136
"Broward, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,104064951
"Broward, FL",2,Population (persons) 1/,Number of persons,2019,1941218
"Broward, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,53608
"Calhoun, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,415135
"Calhoun, FL",2,Population (persons) 1/,Number of persons,2019,13725
"Calhoun, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,30247
"Charlotte, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,8387816
"Charlotte, FL",2,Population (persons) 1/,Number of persons,2019,183791
"Charlotte, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,45638
"Citrus, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,5913372
"Citrus, FL",2,Population (persons) 1/,Number of persons,2019,151440
"Citrus, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,39048
"Clay, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,9716554
"Clay, FL",2,Population (persons) 1/,Number of persons,2019,216441
"Clay, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,44892
"Collier, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,39600011
"Collier, FL",2,Population (persons) 1/,Number of persons,2019,371939
"Collier, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,106469
"Columbia, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,2549164
"Columbia, FL",2,Population (persons) 1/,Number of persons,2019,69322
"Columbia, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,36773
"DeSoto, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,950016
"DeSoto, FL",2,Population (persons) 1/,Number of persons,2019,33877
"DeSoto, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,28043
"Dixie, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,489128
"Dixie, FL",2,Population (persons) 1/,Number of persons,2019,16668
"Dixie, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,29345
"Duval, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,46119311
"Duval, FL",2,Population (persons) 1/,Number of persons,2019,986724
"Duval, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,46740
"Escambia, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,14148840
"Escambia, FL",2,Population (persons) 1/,Number of persons,2019,319548
"Escambia, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,44278
"Flagler, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,5629237
"Flagler, FL",2,Population (persons) 1/,Number of persons,2019,113336
"Flagler, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,49669
"Franklin, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,444242
"Franklin, FL",2,Population (persons) 1/,Number of persons,2019,12345
"Franklin, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,35986
"Gadsden, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,1642578
"Gadsden, FL",2,Population (persons) 1/,Number of persons,2019,44249
"Gadsden, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,37121
"Gilchrist, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,643781
"Gilchrist, FL",2,Population (persons) 1/,Number of persons,2019,17727
"Gilchrist, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,36316
"Glades, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,340624
"Glades, FL",2,Population (persons) 1/,Number of persons,2019,12120
"Glades, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,28104
"Gulf, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,601215
"Gulf, FL",2,Population (persons) 1/,Number of persons,2019,14084
"Gulf, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,42688
"Hamilton, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,386560
"Hamilton, FL",2,Population (persons) 1/,Number of persons,2019,13995
"Hamilton, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,27621
"Hardee, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,756703
"Hardee, FL",2,Population (persons) 1/,Number of persons,2019,25451
"Hardee, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,29732
"Hendry, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,1347939
"Hendry, FL",2,Population (persons) 1/,Number of persons,2019,39319
"Hendry, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,34282
"Hernando, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,7495404
"Hernando, FL",2,Population (persons) 1/,Number of persons,2019,191461
"Hernando, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,39148
"Highlands, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,3626700
"Highlands, FL",2,Population (persons) 1/,Number of persons,2019,101061
"Highlands, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,35886
"Hillsborough, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,71701491
"Hillsborough, FL",2,Population (persons) 1/,Number of persons,2019,1446165
"Hillsborough, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,49580
"Holmes, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,631643
"Holmes, FL",2,Population (persons) 1/,Number of persons,2019,19693
"Holmes, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,32074
"Indian River, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,13216852
"Indian River, FL",2,Population (persons) 1/,Number of persons,2019,157868
"Indian River, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,83721
"Jackson, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,1629930
"Jackson, FL",2,Population (persons) 1/,Number of persons,2019,47295
"Jackson, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,34463
"Jefferson, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,618158
"Jefferson, FL",2,Population (persons) 1/,Number of persons,2019,14300
"Jefferson, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,43228
"Lafayette, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,220113
"Lafayette, FL",2,Population (persons) 1/,Number of persons,2019,8182
"Lafayette, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,26902
"Lake, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,16251539
"Lake, FL",2,Population (persons) 1/,Number of persons,2019,376218
"Lake, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,43197
"Lee, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,41426102
"Lee, FL",2,Population (persons) 1/,Number of persons,2019,749512
"Lee, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,55271
"Leon, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,13513266
"Leon, FL",2,Population (persons) 1/,Number of persons,2019,291203
"Leon, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,46405
"Levy, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,1566890
"Levy, FL",2,Population (persons) 1/,Number of persons,2019,42379
"Levy, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,36973
"Liberty, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,212873
"Liberty, FL",2,Population (persons) 1/,Number of persons,2019,7992
"Liberty, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,26636
"Madison, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,609244
"Madison, FL",2,Population (persons) 1/,Number of persons,2019,17948
"Madison, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,33945
"Manatee, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,20649386
"Manatee, FL",2,Population (persons) 1/,Number of persons,2019,394464
"Manatee, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,52348
"Marion, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,14197537
"Marion, FL",2,Population (persons) 1/,Number of persons,2019,369537
"Marion, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,38420
"Martin, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,14119457
"Martin, FL",2,Population (persons) 1/,Number of persons,2019,158072
"Martin, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,89323
"Miami-Dade, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,149525576
"Miami-Dade, FL",2,Population (persons) 1/,Number of persons,2019,2699161
"Miami-Dade, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,55397
"Monroe, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,7769800
"Monroe, FL",2,Population (persons) 1/,Number of persons,2019,81918
"Monroe, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,94849
"Nassau, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,5506038
"Nassau, FL",2,Population (persons) 1/,Number of persons,2019,88510
"Nassau, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,62208
"Okaloosa, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,10727767
"Okaloosa, FL",2,Population (persons) 1/,Number of persons,2019,210581
"Okaloosa, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,50944
"Okeechobee, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,1324777
"Okeechobee, FL",2,Population (persons) 1/,Number of persons,2019,39760
"Okeechobee, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,33319
"Orange, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,65576099
"Orange, FL",2,Population (persons) 1/,Number of persons,2019,1418721
"Orange, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,46222
"Osceola, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,13792153
"Osceola, FL",2,Population (persons) 1/,Number of persons,2019,379156
"Osceola, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,36376
"Palm Beach, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,128720602
"Palm Beach, FL",2,Population (persons) 1/,Number of persons,2019,1484760
"Palm Beach, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,86695
"Pasco, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,23910903
"Pasco, FL",2,Population (persons) 1/,Number of persons,2019,550138
"Pasco, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,43463
"Pinellas, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,54357394
"Pinellas, FL",2,Population (persons) 1/,Number of persons,2019,959435
"Pinellas, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,56656
"Polk, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,26883856
"Polk, FL",2,Population (persons) 1/,Number of persons,2019,711750
"Polk, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,37771
"Putnam, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,2474627
"Putnam, FL",2,Population (persons) 1/,Number of persons,2019,73018
"Putnam, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,33891
"St. Johns, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,19286225
"St. Johns, FL",2,Population (persons) 1/,Number of persons,2019,263619
"St. Johns, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,73159
"St. Lucie, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,13815628
"St. Lucie, FL",2,Population (persons) 1/,Number of persons,2019,322986
"St. Lucie, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,42775
"Santa Rosa, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,8688153
"Santa Rosa, FL",2,Population (persons) 1/,Number of persons,2019,184648
"Santa Rosa, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,47053
"Sarasota, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,30162840
"Sarasota, FL",2,Population (persons) 1/,Number of persons,2019,428249
"Sarasota, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,70433
"Seminole, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,23667723
"Seminole, FL",2,Population (persons) 1/,Number of persons,2019,469164
"Seminole, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,50447
"Sumter, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,6972854
"Sumter, FL",2,Population (persons) 1/,Number of persons,2019,126746
"Sumter, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,55014
"Suwannee, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,1481579
"Suwannee, FL",2,Population (persons) 1/,Number of persons,2019,43236
"Suwannee, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,34267
"Taylor, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,670904
"Taylor, FL",2,Population (persons) 1/,Number of persons,2019,21689
"Taylor, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,30933
"Union, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,342193
"Union, FL",2,Population (persons) 1/,Number of persons,2019,16070
"Union, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,21294
"Volusia, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,25202773
"Volusia, FL",2,Population (persons) 1/,Number of persons,2019,548386
"Volusia, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,45958
"Wakulla, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,1304133
"Wakulla, FL",2,Population (persons) 1/,Number of persons,2019,33283
"Wakulla, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,39183
"Walton, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,5163714
"Walton, FL",2,Population (persons) 1/,Number of persons,2019,73461
"Walton, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,70292
"Washington, FL",1,Personal income (thousands of dollars),Thousands of dollars,2019,782975
"Washington, FL",2,Population (persons) 1/,Number of persons,2019,25142
"Washington, FL",3,Per capita personal income (dollars) 2/,Dollars,2019,31142
Georgia,1,Personal income (thousands of dollars),Thousands of dollars,2019,516552121
Georgia,2,Population (persons) 1/,Number of persons,2019,10642947
Georgia,3,Per capita personal income (dollars) 2/,Dollars,2019,48535
"Appling, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,658188
"Appling, GA",2,Population (persons) 1/,Number of persons,2019,18484
"Appling, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,35609
"Atkinson, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,249313
"Atkinson, GA",2,Population (persons) 1/,Number of persons,2019,8188
"Atkinson, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,30449
"Bacon, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,360973
"Bacon, GA",2,Population (persons) 1/,Number of persons,2019,11178
"Bacon, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,32293
"Baker, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,119173
"Baker, GA",2,Population (persons) 1/,Number of persons,2019,2929
"Baker, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,40687
"Baldwin, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,1512534
"Baldwin, GA",2,Population (persons) 1/,Number of persons,2019,43814
"Baldwin, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,34522
"Banks, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,680126
"Banks, GA",2,Population (persons) 1/,Number of persons,2019,18026
"Banks, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,37730
"Barrow, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,3151358
"Barrow, GA",2,Population (persons) 1/,Number of persons,2019,82155
"Barrow, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,38359
"Bartow, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,4326764
"Bartow, GA",2,Population (persons) 1/,Number of persons,2019,107665
"Bartow, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,40187
"Ben Hill, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,544931
"Ben Hill, GA",2,Population (persons) 1/,Number of persons,2019,17201
"Ben Hill, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,31680
"Berrien, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,624295
"Berrien, GA",2,Population (persons) 1/,Number of persons,2019,18250
"Berrien, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,34208
"Bibb, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,6284438
"Bibb, GA",2,Population (persons) 1/,Number of persons,2019,157151
"Bibb, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,39990
"Bleckley, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,448505
"Bleckley, GA",2,Population (persons) 1/,Number of persons,2019,12583
"Bleckley, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,35644
"Brantley, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,524640
"Brantley, GA",2,Population (persons) 1/,Number of persons,2019,18079
"Brantley, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,29019
"Brooks, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,566566
"Brooks, GA",2,Population (persons) 1/,Number of persons,2019,16315
"Brooks, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,34727
"Bryan, GA",1,Personal income (thousands of dollars),Thousands of dollars,2019,2126850
"Bryan, GA",2,Population (persons) 1/,Number of persons,2019,43407
"Bryan, GA",3,Per capita personal income (dollars) 2/,Dollars,2019,48998
