GeoName,LineCode,Description,Unit,Year,Value
"Dallas, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1333745
"Dallas, AL",2,Population (persons) 1/,Number of persons,2018,40066
"Dallas, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,33289
"DeKalb, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,2294412
"DeKalb, AL",2,Population (persons) 1/,Number of persons,2018,71446
"DeKalb, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,32114
"Elmore, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,3466846
"Elmore, AL",2,Population (persons) 1/,Number of persons,2018,85940
"Elmore, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,40340
"Escambia, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1181944
"Escambia, AL",2,Population (persons) 1/,Number of persons,2018,36845
"Escambia, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,32079
"Etowah, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,3745235
"Etowah, AL",2,Population (persons) 1/,Number of persons,2018,103646
"Etowah, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,36135
"Fayette, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,562170
"Fayette, AL",2,Population (persons) 1/,Number of persons,2018,16514
"Fayette, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,34042
"Franklin, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1063978
"Franklin, AL",2,Population (persons) 1/,Number of persons,2018,31959
"Franklin, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,33292
"Geneva, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,907023
"Geneva, AL",2,Population (persons) 1/,Number of persons,2018,26521
"Geneva, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,34200
"Greene, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,251241
"Greene, AL",2,Population (persons) 1/,Number of persons,2018,7979
"Greene, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,31488
"Hale, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,524442
"Hale, AL",2,Population (persons) 1/,Number of persons,2018,14880
"Hale, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,35245
"Henry, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,716407
"Henry, AL",2,Population (persons) 1/,Number of persons,2018,17064
"Henry, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,41984
"Houston, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,4437058
"Houston, AL",2,Population (persons) 1/,Number of persons,2018,105482
"Houston, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,42065
"Jackson, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1884993
"Jackson, AL",2,Population (persons) 1/,Number of persons,2018,52431
"Jackson, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,35952
"Jefferson, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,35801584
"Jefferson, AL",2,Population (persons) 1/,Number of persons,2018,674571
"Jefferson, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,53073
"Lamar, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,457700
"Lamar, AL",2,Population (persons) 1/,Number of persons,2018,14030
"Lamar, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,32623
"Lauderdale, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,3380826
"Lauderdale, AL",2,Population (persons) 1/,Number of persons,2018,92975
"Lauderdale, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,36363
"Lawrence, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1114310
"Lawrence, AL",2,Population (persons) 1/,Number of persons,2018,33089
"Lawrence, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,33676
"Lee, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,6230684
"Lee, AL",2,Population (persons) 1/,Number of persons,2018,170423
"Lee, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,36560
"Limestone, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,4156699
"Limestone, AL",2,Population (persons) 1/,Number of persons,2018,97834
"Limestone, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,42487
"Lowndes, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,393111
"Lowndes, AL",2,Population (persons) 1/,Number of persons,2018,10517
"Lowndes, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,37379
"Macon, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,591711
"Macon, AL",2,Population (persons) 1/,Number of persons,2018,19622
"Macon, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,30155
"Madison, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,18866501
"Madison, AL",2,Population (persons) 1/,Number of persons,2018,375545
"Madison, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,50238
"Marengo, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,744010
"Marengo, AL",2,Population (persons) 1/,Number of persons,2018,19537
"Marengo, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,38082
"Marion, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,960712
"Marion, AL",2,Population (persons) 1/,Number of persons,2018,29456
"Marion, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,32615
"Marshall, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,3449773
"Marshall, AL",2,Population (persons) 1/,Number of persons,2018,96774
"Marshall, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,35648
"Mobile, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,15723309
"Mobile, AL",2,Population (persons) 1/,Number of persons,2018,415734
"Mobile, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,37821
"Monroe, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,688619
"Monroe, AL",2,Population (persons) 1/,Number of persons,2018,20435
"Monroe, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,33698
"Montgomery, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,9748649
"Montgomery, AL",2,Population (persons) 1/,Number of persons,2018,229840
"Montgomery, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,42415
"Morgan, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,4727652
"Morgan, AL",2,Population (persons) 1/,Number of persons,2018,122037
"Morgan, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,38739
"Perry, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,276975
"Perry, AL",2,Population (persons) 1/,Number of persons,2018,8856
"Perry, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,31275
"Pickens, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,657473
"Pickens, AL",2,Population (persons) 1/,Number of persons,2018,19364
"Pickens, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,33953
"Pike, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1226773
"Pike, AL",2,Population (persons) 1/,Number of persons,2018,33420
"Pike, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,36708
"Randolph, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,747901
"Randolph, AL",2,Population (persons) 1/,Number of persons,2018,21993
"Randolph, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,34006
"Russell, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1860026
"Russell, AL",2,Population (persons) 1/,Number of persons,2018,58754
"Russell, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,31658
"St. Clair, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,3513059
"St. Clair, AL",2,Population (persons) 1/,Number of persons,2018,89357
"St. Clair, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,39315
"Shelby, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,11877859
"Shelby, AL",2,Population (persons) 1/,Number of persons,2018,217779
"Shelby, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,54541
"Sumter, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,384072
"Sumter, AL",2,Population (persons) 1/,Number of persons,2018,12726
"Sumter, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,30180
"Talladega, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,2741781
"Talladega, AL",2,Population (persons) 1/,Number of persons,2018,81940
"Talladega, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,33461
"Tallapoosa, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,1633447
"Tallapoosa, AL",2,Population (persons) 1/,Number of persons,2018,41461
"Tallapoosa, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,39397
"Tuscaloosa, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,8092333
"Tuscaloosa, AL",2,Population (persons) 1/,Number of persons,2018,221687
"Tuscaloosa, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,36503
"Walker, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,2545706
"Walker, AL",2,Population (persons) 1/,Number of persons,2018,65320
"Walker, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,38973
"Washington, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,589425
"Washington, AL",2,Population (persons) 1/,Number of persons,2018,15782
"Washington, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,37348
"Wilcox, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,341705
"Wilcox, AL",2,Population (persons) 1/,Number of persons,2018,10858
"Wilcox, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,31470
"Winston, AL",1,Personal income (thousands of dollars),Thousands of dollars,2018,801907
"Winston, AL",2,Population (persons) 1/,Number of persons,2018,23689
"Winston, AL",3,Per capita personal income (dollars) 2/,Dollars,2018,33851
Alaska,1,Personal income (thousands of dollars),Thousands of dollars,2018,43522749
